,priceList,departureOperatorList,returnOperatorList,departureDateList,returnDateList,daysToFlight
0,960,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-06,2023-06-08,1
1,793,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-06,2023-06-08,1
2,1033,Ryanair,Wizz Air Malta,2023-06-06,2023-06-08,1
3,1047,Ryanair,Wizz Air Malta,2023-06-06,2023-06-08,1
4,1053,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-06,2023-06-08,1
5,1065,Ryanair,Wizz Air Malta,2023-06-06,2023-06-08,1
6,1068,LOT,Wizz Air,2023-06-06,2023-06-08,1
7,1093,Wizz Air,Wizz Air Malta,2023-06-06,2023-06-08,1
8,1109,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-06,2023-06-08,1
9,1144,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-06,2023-06-08,1
10,1159,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-06,2023-06-08,1
11,1166,LOT,Wizz Air,2023-06-06,2023-06-08,1
12,1169,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-06,2023-06-08,1
13,1178,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-06,2023-06-08,1
14,1182,Ryanair,Eurowings,2023-06-06,2023-06-08,1
15,748,Wizz Air,Wizz Air,2023-06-07,2023-06-09,2
16,813,Wizz Air,Ryanair,2023-06-07,2023-06-09,2
17,825,Wizz Air,Ryanair,2023-06-07,2023-06-09,2
18,1157,Wizz Air,Ryanair,2023-06-07,2023-06-09,2
19,1202,Wizz Air,Ryanair,2023-06-07,2023-06-09,2
20,1833,Wizz Air,Wizz Air,2023-06-07,2023-06-09,2
21,1457,Lufthansa,Ryanair,2023-06-07,2023-06-09,2
22,1144,Wizz Air,LOT,2023-06-07,2023-06-09,2
23,1390,Lufthansa,Wizz Air,2023-06-07,2023-06-09,2
24,1289,Wizz Air,Ryanair,2023-06-07,2023-06-09,2
25,1470,Lufthansa,Ryanair,2023-06-07,2023-06-09,2
26,1179,Wizz Air,LOT,2023-06-07,2023-06-09,2
27,1590,KLM,Wizz Air,2023-06-07,2023-06-09,2
28,1359,Lufthansa,Lufthansa,2023-06-07,2023-06-09,2
29,1506,Wizz Air,Ryanair,2023-06-07,2023-06-09,2
30,1335,Lufthansa,Lufthansa,2023-06-08,2023-06-10,3
31,805,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-08,2023-06-10,3
32,1435,Lufthansa,Wizz Air,2023-06-08,2023-06-10,3
33,1435,Lufthansa,Wizz Air,2023-06-08,2023-06-10,3
34,1606,Lufthansa,Wizz Air,2023-06-08,2023-06-10,3
35,1042,LOT,Wizz Air,2023-06-08,2023-06-10,3
36,1213,LOT,Wizz Air,2023-06-08,2023-06-10,3
37,1313,Lufthansa,Wizz Air,2023-06-08,2023-06-10,3
38,1378,LOT,Wizz Air,2023-06-08,2023-06-10,3
39,1493,Lufthansa,Wizz Air,2023-06-08,2023-06-10,3
40,1549,LOT,Wizz Air,2023-06-08,2023-06-10,3
41,1553,Austrian Airlines,Wizz Air,2023-06-08,2023-06-10,3
42,1713,Air Dolomiti,Lufthansa,2023-06-08,2023-06-10,3
43,1713,Lufthansa,Air Dolomiti,2023-06-08,2023-06-10,3
44,1731,Lufthansa,Air Dolomiti,2023-06-08,2023-06-10,3
45,1274,Wizz Air,ITA Airways,2023-06-08,2023-06-10,3
46,808,Ryanair,Wizz Air,2023-06-09,2023-06-11,4
47,627,Wizz Air,Wizz Air,2023-06-09,2023-06-11,4
48,976,Ryanair,Ryanair,2023-06-09,2023-06-11,4
49,785,Wizz Air,Ryanair,2023-06-09,2023-06-11,4
50,803,Wizz Air,Ryanair,2023-06-09,2023-06-11,4
51,886,Wizz Air,Ryanair,2023-06-09,2023-06-11,4
52,997,Ryanair,Ryanair,2023-06-09,2023-06-11,4
53,1113,Ryanair,Ryanair,2023-06-09,2023-06-11,4
54,902,Wizz Air,Ryanair,2023-06-09,2023-06-11,4
55,1135,Ryanair,Ryanair,2023-06-09,2023-06-11,4
56,817,Wizz Air,LOT,2023-06-09,2023-06-11,4
57,896,Wizz Air,Ryanair,2023-06-09,2023-06-11,4
58,977,Wizz Air,Ryanair,2023-06-09,2023-06-11,4
59,1067,Eurowings,Wizz Air,2023-06-09,2023-06-11,4
60,1079,LOT,Wizz Air,2023-06-09,2023-06-11,4
61,859,Ryanair,Wizz Air,2023-06-10,2023-06-12,5
62,530,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-10,2023-06-12,5
63,954,Ryanair,Wizz Air,2023-06-10,2023-06-12,5
64,994,Ryanair,Ryanair,2023-06-10,2023-06-12,5
65,1130,Ryanair,Ryanair,2023-06-10,2023-06-12,5
66,1202,Ryanair,Ryanair,2023-06-10,2023-06-12,5
67,1215,Ryanair,Ryanair,2023-06-10,2023-06-12,5
68,743,Wizz Air,easyJet,2023-06-10,2023-06-12,5
69,859,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-10,2023-06-12,5
70,906,Ryanair,Wizz Air,2023-06-10,2023-06-12,5
71,955,Ryanair,Wizz Air,2023-06-10,2023-06-12,5
72,543,Wizz Air,Wizz Air Malta,2023-06-10,2023-06-12,5
73,573,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-10,2023-06-12,5
74,578,Wizz Air,Wizz Air Malta,2023-06-10,2023-06-12,5
75,592,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-10,2023-06-12,5
76,601,Wizz Air,Wizz Air Malta,2023-06-10,2023-06-12,5
77,458,Wizz Air,Wizz Air,2023-06-11,2023-06-13,6
78,590,Wizz Air,Wizz Air,2023-06-11,2023-06-13,6
79,593,Wizz Air,Ryanair,2023-06-11,2023-06-13,6
80,617,Wizz Air,Ryanair,2023-06-11,2023-06-13,6
81,681,Ryanair,Wizz Air,2023-06-11,2023-06-13,6
82,735,Wizz Air,Ryanair,2023-06-11,2023-06-13,6
83,813,Ryanair,Wizz Air,2023-06-11,2023-06-13,6
84,891,Wizz Air,Ryanair,2023-06-11,2023-06-13,6
85,1694,Ryanair,Wizz Air,2023-06-11,2023-06-13,6
86,1006,Air Serbia,Ryanair,2023-06-11,2023-06-13,6
87,1512,Austrian Airlines,Austrian Airlines,2023-06-11,2023-06-13,6
88,1723,Wizz Air,Austrian Airlines,2023-06-11,2023-06-13,6
89,1759,Wizz Air,Lufthansa,2023-06-11,2023-06-13,6
90,1853,Eurowings,Ryanair,2023-06-11,2023-06-13,6
91,1946,Ryanair,Austrian Airlines,2023-06-11,2023-06-13,6
92,374,Wizz Air,Wizz Air,2023-06-12,2023-06-14,7
93,478,Wizz Air,Ryanair,2023-06-12,2023-06-14,7
94,502,Wizz Air,Ryanair,2023-06-12,2023-06-14,7
95,617,Wizz Air,Ryanair,2023-06-12,2023-06-14,7
96,662,Ryanair,Ryanair,2023-06-12,2023-06-14,7
97,413,Wizz Air,Wizz Air,2023-06-12,2023-06-14,7
98,529,Wizz Air,Ryanair,2023-06-12,2023-06-14,7
99,700,Ryanair,Ryanair,2023-06-12,2023-06-14,7
100,706,Ryanair,Ryanair,2023-06-12,2023-06-14,7
101,815,Ryanair,Ryanair,2023-06-12,2023-06-14,7
102,383,Wizz Air,Ryanair,2023-06-12,2023-06-14,7
103,461,Wizz Air,Ryanair,2023-06-12,2023-06-14,7
104,557,Ryanair,Wizz Air,2023-06-12,2023-06-14,7
105,590,Ryanair,Wizz Air,2023-06-12,2023-06-14,7
106,548,Ryanair,Wizz Air,2023-06-12,2023-06-14,7
107,519,Ryanair,Wizz Air,2023-06-13,2023-06-15,8
108,512,Ryanair,Wizz Air,2023-06-13,2023-06-15,8
109,522,Ryanair,Wizz Air,2023-06-13,2023-06-15,8
110,581,Ryanair,Ryanair,2023-06-13,2023-06-15,8
111,646,Ryanair,Ryanair,2023-06-13,2023-06-15,8
112,653,Ryanair,Ryanair,2023-06-13,2023-06-15,8
113,655,Ryanair,Ryanair,2023-06-13,2023-06-15,8
114,521,Ryanair,Wizz Air,2023-06-13,2023-06-15,8
115,528,Ryanair,Wizz Air,2023-06-13,2023-06-15,8
116,531,Ryanair,Wizz Air,2023-06-13,2023-06-15,8
117,542,Ryanair,Wizz Air,2023-06-13,2023-06-15,8
118,650,Ryanair,Wizz Air,2023-06-13,2023-06-15,8
119,566,Ryanair,Wizz Air,2023-06-13,2023-06-15,8
120,599,Ryanair,Wizz Air,2023-06-13,2023-06-15,8
121,722,Ryanair,Wizz Air,2023-06-13,2023-06-15,8
122,360,Wizz Air,Wizz Air,2023-06-14,2023-06-16,9
123,437,Ryanair,Wizz Air,2023-06-14,2023-06-16,9
124,389,Wizz Air,Ryanair,2023-06-14,2023-06-16,9
125,466,Wizz Air,Ryanair,2023-06-14,2023-06-16,9
126,497,Wizz Air,Ryanair,2023-06-14,2023-06-16,9
127,496,Ryanair,Ryanair,2023-06-14,2023-06-16,9
128,571,Ryanair,Ryanair,2023-06-14,2023-06-16,9
129,601,Ryanair,Ryanair,2023-06-14,2023-06-16,9
130,601,Ryanair,Ryanair,2023-06-14,2023-06-16,9
131,425,Wizz Air,Wizz Air,2023-06-14,2023-06-16,9
132,443,Ryanair,Wizz Air,2023-06-14,2023-06-16,9
133,501,Wizz Air,Ryanair,2023-06-14,2023-06-16,9
134,526,Ryanair,Wizz Air,2023-06-14,2023-06-16,9
135,417,Wizz Air,Ryanair,2023-06-14,2023-06-16,9
136,512,Wizz Air,Ryanair,2023-06-14,2023-06-16,9
137,421,Ryanair,Wizz Air,2023-06-15,2023-06-17,10
138,465,Ryanair,Wizz Air,2023-06-15,2023-06-17,10
139,566,Ryanair,Ryanair,2023-06-15,2023-06-17,10
140,575,Ryanair,Ryanair,2023-06-15,2023-06-17,10
141,481,Ryanair,Ryanair,2023-06-15,2023-06-17,10
142,471,Ryanair,Wizz Air,2023-06-15,2023-06-17,10
143,538,Ryanair,Wizz Air,2023-06-15,2023-06-17,10
144,975,Ryanair,Ryanair,2023-06-15,2023-06-17,10
145,582,Ryanair,Ryanair,2023-06-15,2023-06-17,10
146,657,Ryanair,Ryanair,2023-06-15,2023-06-17,10
147,714,Ryanair,Ryanair,2023-06-15,2023-06-17,10
148,720,Ryanair,Wizz Air Malta,2023-06-15,2023-06-17,10
149,728,Ryanair,Ryanair,2023-06-15,2023-06-17,10
150,729,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-15,2023-06-17,10
151,736,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-15,2023-06-17,10
152,435,Wizz Air,Wizz Air,2023-06-16,2023-06-18,11
153,566,Ryanair,Wizz Air,2023-06-16,2023-06-18,11
154,578,Ryanair,Wizz Air,2023-06-16,2023-06-18,11
155,465,Wizz Air,Wizz Air,2023-06-16,2023-06-18,11
156,532,Wizz Air,Ryanair,2023-06-16,2023-06-18,11
157,584,Ryanair,Ryanair,2023-06-16,2023-06-18,11
158,661,Ryanair,Ryanair,2023-06-16,2023-06-18,11
159,730,Ryanair,Ryanair,2023-06-16,2023-06-18,11
160,449,Wizz Air,Ryanair,2023-06-16,2023-06-18,11
161,554,Wizz Air,Ryanair,2023-06-16,2023-06-18,11
162,903,Wizz Air,Ryanair,2023-06-16,2023-06-18,11
163,1012,Ryanair,Ryanair,2023-06-16,2023-06-18,11
164,525,Wizz Air,Ryanair,2023-06-16,2023-06-18,11
165,591,Wizz Air,Ryanair,2023-06-16,2023-06-18,11
166,733,Wizz Air,Ryanair,2023-06-16,2023-06-18,11
167,480,Ryanair,Wizz Air,2023-06-17,2023-06-19,12
168,690,Ryanair,Ryanair,2023-06-17,2023-06-19,12
169,713,Ryanair,Ryanair,2023-06-17,2023-06-19,12
170,571,Ryanair,Wizz Air,2023-06-17,2023-06-19,12
171,623,Ryanair,Wizz Air,2023-06-17,2023-06-19,12
172,890,Ryanair,Ryanair,2023-06-17,2023-06-19,12
173,728,Ryanair,Ryanair,2023-06-17,2023-06-19,12
174,735,Ryanair,Wizz Air,2023-06-17,2023-06-19,12
175,778,Ryanair,Ryanair,2023-06-17,2023-06-19,12
176,1021,Ryanair,Ryanair,2023-06-17,2023-06-19,12
177,516,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-17,2023-06-19,12
178,542,Ryanair,Wizz Air,2023-06-17,2023-06-19,12
179,594,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-17,2023-06-19,12
180,612,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-17,2023-06-19,12
181,633,Ryanair,Wizz Air,2023-06-17,2023-06-19,12
182,388,Wizz Air,Wizz Air,2023-06-18,2023-06-20,13
183,484,Wizz Air,Wizz Air,2023-06-18,2023-06-20,13
184,604,Wizz Air,Ryanair,2023-06-18,2023-06-20,13
185,530,Wizz Air,Ryanair,2023-06-18,2023-06-20,13
186,757,Wizz Air,Ryanair,2023-06-18,2023-06-20,13
187,794,Ryanair,Ryanair,2023-06-18,2023-06-20,13
188,647,Ryanair,Wizz Air,2023-06-18,2023-06-20,13
189,738,Ryanair,Wizz Air,2023-06-18,2023-06-20,13
190,790,Ryanair,Wizz Air,2023-06-18,2023-06-20,13
191,868,Ryanair,Ryanair,2023-06-18,2023-06-20,13
192,937,Wizz Air,Ryanair,2023-06-18,2023-06-20,13
193,1051,Ryanair,Ryanair,2023-06-18,2023-06-20,13
194,539,Wizz Air,Ryanair,2023-06-18,2023-06-20,13
195,610,Wizz Air,Ryanair,2023-06-18,2023-06-20,13
196,640,Wizz Air,Ryanair,2023-06-18,2023-06-20,13
197,483,Wizz Air,Wizz Air,2023-06-19,2023-06-21,14
198,615,Wizz Air,Ryanair,2023-06-19,2023-06-21,14
199,633,Ryanair,Wizz Air,2023-06-19,2023-06-21,14
200,725,Wizz Air,Ryanair,2023-06-19,2023-06-21,14
201,768,Ryanair,Ryanair,2023-06-19,2023-06-21,14
202,775,Ryanair,Ryanair,2023-06-19,2023-06-21,14
203,849,Wizz Air,Ryanair,2023-06-19,2023-06-21,14
204,881,Ryanair,Ryanair,2023-06-19,2023-06-21,14
205,984,Ryanair,Ryanair,2023-06-19,2023-06-21,14
206,609,Wizz Air,Ryanair,2023-06-19,2023-06-21,14
207,744,Wizz Air,Wizz Air,2023-06-19,2023-06-21,14
208,619,Wizz Air,Ryanair,2023-06-19,2023-06-21,14
209,640,Wizz Air,Ryanair,2023-06-19,2023-06-21,14
210,696,Wizz Air,Ryanair,2023-06-19,2023-06-21,14
211,872,Ryanair,Wizz Air,2023-06-19,2023-06-21,14
212,525,Ryanair,Wizz Air,2023-06-20,2023-06-22,15
213,431,Ryanair,Wizz Air,2023-06-20,2023-06-22,15
214,651,Ryanair,Ryanair,2023-06-20,2023-06-22,15
215,657,Ryanair,Ryanair,2023-06-20,2023-06-22,15
216,729,Ryanair,Wizz Air,2023-06-20,2023-06-22,15
217,458,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-20,2023-06-22,15
218,573,Ryanair,Wizz Air Malta,2023-06-20,2023-06-22,15
219,588,Ryanair,Wizz Air Malta,2023-06-20,2023-06-22,15
220,789,Ryanair,Ryanair,2023-06-20,2023-06-22,15
221,924,Ryanair,Ryanair,2023-06-20,2023-06-22,15
222,450,Ryanair,Wizz Air,2023-06-20,2023-06-22,15
223,502,Ryanair,Wizz Air,2023-06-20,2023-06-22,15
224,521,Kilka linii lotniczych,Kilka linii lotniczych,2023-06-20,2023-06-22,15
225,523,Ryanair,Wizz Air,2023-06-20,2023-06-22,15
226,523,Ryanair,Wizz Air,2023-06-20,2023-06-22,15
227,910,Ryanair,Ryanair,2023-06-21,2023-06-23,16
228,428,Wizz Air,Ryanair,2023-06-21,2023-06-23,16
229,436,Wizz Air,Ryanair,2023-06-21,2023-06-23,16
230,470,Ryanair,Wizz Air,2023-06-21,2023-06-23,16
231,491,Wizz Air,Ryanair,2023-06-21,2023-06-23,16
232,546,Wizz Air,Ryanair,2023-06-21,2023-06-23,16
233,536,Wizz Air,Wizz Air,2023-06-21,2023-06-23,16
234,587,Ryanair,Ryanair,2023-06-21,2023-06-23,16
235,600,Ryanair,Ryanair,2023-06-21,2023-06-23,16
236,566,Wizz Air,Wizz Air,2023-06-21,2023-06-23,16
237,628,Ryanair,Ryanair,2023-06-21,2023-06-23,16
238,663,Ryanair,Wizz Air,2023-06-21,2023-06-23,16
239,697,Ryanair,Ryanair,2023-06-21,2023-06-23,16
240,703,Ryanair,Wizz Air,2023-06-21,2023-06-23,16
241,445,Wizz Air,Ryanair,2023-06-21,2023-06-23,16
242,660,Ryanair,Ryanair,2023-06-22,2023-06-24,17
243,574,Ryanair,Wizz Air,2023-06-22,2023-06-24,17
244,678,Ryanair,Ryanair,2023-06-22,2023-06-24,17
245,731,Ryanair,Wizz Air,2023-06-22,2023-06-24,17
246,731,Ryanair,Wizz Air,2023-06-22,2023-06-24,17
247,735,Ryanair,Ryanair,2023-06-22,2023-06-24,17
